Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),84,flow_success,56,3,1,1,0.0205
1. Static Maze (No Agent),85,flow_success,76,3,1,1,0.0361
1. Static Maze (No Agent),86,too_fast,40,3,1,0,0.0126
1. Static Maze (No Agent),87,too_fast,44,3,1,0,0.0145
1. Static Maze (No Agent),88,too_fast,48,3,1,0,0.0193
1. Static Maze (No Agent),89,flow_success,52,3,1,1,0.0198
1. Static Maze (No Agent),90,flow_success,60,3,1,1,0.0233
1. Static Maze (No Agent),91,flow_success,88,3,1,1,0.0468
1. Static Maze (No Agent),92,flow_success,60,3,1,1,0.0232
1. Static Maze (No Agent),93,flow_success,68,3,1,1,0.0304
1. Static Maze (No Agent),94,flow_success,52,3,1,1,0.0194
1. Static Maze (No Agent),95,flow_success,64,3,1,1,0.0269
1. Static Maze (No Agent),96,too_fast,48,3,1,0,0.0161
1. Static Maze (No Agent),97,flow_success,72,3,1,1,0.0294
1. Static Maze (No Agent),98,too_fast,48,3,1,0,0.0159
1. Static Maze (No Agent),99,flow_success,84,3,1,1,0.0411
1. Static Maze (No Agent),100,flow_success,64,3,1,1,0.0345
2. Walls Only,1,flow_success,52,3,1,1,0.0245
2. Walls Only,2,flow_success,56,3,1,1,0.0327
2. Walls Only,3,too_fast,32,3,1,0,0.0138
2. Walls Only,4,flow_success,54,3,1,1,0.0367
2. Walls Only,5,too_fast,44,3,1,0,0.0199
2. Walls Only,6,too_fast,44,3,1,0,0.0153
2. Walls Only,7,too_fast,40,3,1,0,0.0224
2. Walls Only,8,flow_success,54,3,1,1,0.035
2. Walls Only,9,flow_success,80,3,1,1,0.0558
2. Walls Only,10,flow_success,80,3,1,1,0.0458
2. Walls Only,11,flow_success,78,3,1,1,0.0413
2. Walls Only,12,flow_success,56,3,1,1,0.0243
2. Walls Only,13,too_fast,48,3,1,0,0.018
2. Walls Only,14,flow_success,60,3,1,1,0.0274
2. Walls Only,15,flow_success,56,3,1,1,0.0219
2. Walls Only,16,too_fast,36,3,1,0,0.0126
2. Walls Only,17,flow_success,76,3,1,1,0.0406
2. Walls Only,18,too_fast,32,3,1,0,0.0126
2. Walls Only,19,too_fast,36,3,1,0,0.0138
2. Walls Only,20,flow_success,52,3,1,1,0.0272
2. Walls Only,21,flow_success,56,3,1,1,0.03
2. Walls Only,22,too_fast,36,3,1,0,0.0163
2. Walls Only,23,too_fast,32,3,1,0,0.0145
2. Walls Only,24,too_fast,36,3,1,0,0.013
2. Walls Only,25,flow_success,60,3,1,1,0.0261
2. Walls Only,26,too_fast,32,3,1,0,0.0107
2. Walls Only,27,flow_success,72,3,1,1,0.0455
2. Walls Only,28,flow_success,82,3,1,1,0.0607
2. Walls Only,29,too_fast,32,3,1,0,0.0099
2. Walls Only,30,too_fast,36,3,1,0,0.0118
2. Walls Only,31,flow_success,64,3,1,1,0.0363
2. Walls Only,32,flow_success,76,3,1,1,0.0458
2. Walls Only,33,too_fast,48,3,1,0,0.0215
2. Walls Only,34,too_fast,48,3,1,0,0.0191
2. Walls Only,35,too_fast,36,3,1,0,0.0113
2. Walls Only,36,flow_success,86,3,1,1,0.0717
2. Walls Only,37,too_fast,32,3,1,0,0.034
2. Walls Only,38,flow_success,56,3,1,1,0.0317
2. Walls Only,39,too_fast,48,3,1,0,0.0235
2. Walls Only,40,too_fast,42,3,1,0,0.0181
2. Walls Only,41,flow_success,56,3,1,1,0.0235
2. Walls Only,42,too_fast,44,3,1,0,0.0163
2. Walls Only,43,flow_success,96,3,1,1,0.0625
2. Walls Only,44,flow_success,76,3,1,1,0.038
2. Walls Only,45,flow_success,52,3,1,1,0.0194
2. Walls Only,46,flow_success,96,3,1,1,0.0493
2. Walls Only,47,too_fast,40,3,1,0,0.0131
2. Walls Only,48,too_fast,42,3,1,0,0.0159
2. Walls Only,49,flow_success,58,3,1,1,0.0285
2. Walls Only,50,too_slow,104,3,1,0,0.0589
2. Walls Only,51,flow_success,60,3,1,1,0.0276
2. Walls Only,52,too_fast,40,3,1,0,0.0141
2. Walls Only,53,flow_success,68,3,1,1,0.0315
2. Walls Only,54,flow_success,78,3,1,1,0.0425
2. Walls Only,55,flow_success,72,3,1,1,0.0343
2. Walls Only,56,flow_success,56,3,1,1,0.0302
2. Walls Only,57,too_fast,48,3,1,0,0.0203
2. Walls Only,58,too_fast,48,3,1,0,0.0172
2. Walls Only,59,flow_success,60,3,1,1,0.0277
2. Walls Only,60,too_fast,36,3,1,0,0.0114
2. Walls Only,61,too_fast,44,3,1,0,0.0174
2. Walls Only,62,too_fast,32,3,1,0,0.0108
2. Walls Only,63,too_fast,48,3,1,0,0.0184
2. Walls Only,64,flow_success,60,3,1,1,0.0267
2. Walls Only,65,flow_success,100,3,1,1,0.0545
2. Walls Only,66,flow_success,100,3,1,1,0.0594
2. Walls Only,67,too_fast,48,3,1,0,0.0193
2. Walls Only,68,flow_success,56,3,1,1,0.0226
2. Walls Only,69,flow_success,52,3,1,1,0.0227
2. Walls Only,70,flow_success,72,3,1,1,0.039
2. Walls Only,71,flow_success,64,3,1,1,0.0274
2. Walls Only,72,too_fast,36,3,1,0,0.0121
2. Walls Only,73,flow_success,88,3,1,1,0.0671
2. Walls Only,74,flow_success,88,3,1,1,0.0453
2. Walls Only,75,flow_success,60,3,1,1,0.0234
2. Walls Only,76,too_fast,36,3,1,0,0.0128
2. Walls Only,77,too_slow,104,3,1,0,0.0733
2. Walls Only,78,too_fast,48,3,1,0,0.0183
2. Walls Only,79,flow_success,80,3,1,1,0.0452
2. Walls Only,80,flow_success,56,3,1,1,0.022
2. Walls Only,81,too_fast,44,3,1,0,0.028
2. Walls Only,82,flow_success,64,3,1,1,0.0284
